code,shortName,longName,comment
01,01,Eintritt in den Ruhestand infolge Erreichens der gesetzlichen Altersgrenze,
02,02,Ausscheiden nach Erreichen der Antragsaltersgrenze,
03,03,Ausscheiden von Schwerbehinderten nach Erreichen der Antragsaltersgrenze,
04,04,"Dienst-, Erwerbs- und Berufsunfähigkeit",
05,05,Tod,
06,06,Versetzung in den Schuldienst eines anderen Bundeslandes,
07,07,Ausscheiden nach Ablauf eines befristeten Vertrages,
08,08,Beurlaubung,
09,09,Übergang in die Elternzeit,
10,10,Übergang auf Teilzeitbeschäftigung (Beamte),
11,11,Übergang auf Teilzeitbeschäftigung (Beschäftigte),
12,12,Versetzung an eine andere Schule (Dienststelle) unter Wechsel der Schulart innerhalb SH,
13,13,Versetzung an eine andere Schule (Dienststelle) derselben Schulart innerhalb SH,
15,15,Sonstige Abgänge aus der Voll- / bzw. Teilzeitbeschäftigung,
99,99,Abgangsgrund für stundenweise Beschäftigte (einschließlich Referendare),
